country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Italy,IT,ITA,60359546,12/10/2020,5273,452,Country_Github
Latvia,LV,LVA,1919968,12/10/2020,65,,Country_Website
Luxembourg,LU,LUX,613894,12/10/2020,40,3,Country_Website
Netherlands,NL,NLD,17282163,12/10/2020,,301,Other Website
Norway,NO,NOR,5328212,12/10/2020,31,,Country_API
Poland,PL,POL,37972812,12/10/2020,5262,,Country_Website
Portugal,PT,PRT,10276617,12/10/2020,877,128,Country_Website
Romania,RO,ROU,19414458,12/10/2020,,628,Country_Website
Slovakia,SK,SVK,5450421,12/10/2020,393,,JRC
Slovenia,SI,SVN,2080908,12/10/2020,172,26,Country_Github
United Kingdom,UK,GBR,66647112,12/10/2020,4741,,Country_Website
Belgium,BE,BEL,11455519,11/10/2020,1331,243,Country_Website
Bulgaria,BG,BGR,7000039,11/10/2020,1189,59,External_Github
Croatia,HR,HRV,4076246,11/10/2020,384,,Country_Website
Czechia,CZ,CZE,10649800,11/10/2020,2146,426,Country_Website
Denmark,DK,DNK,5806081,11/10/2020,102,19,Country_Website
Estonia,EE,EST,1324820,11/10/2020,32,5,Country_API
France,FR,FRA,67012883,11/10/2020,8231,1483,Country_Website
Hungary,HU,HUN,9772756,11/10/2020,1252,138,JRC
Ireland,IE,IRL,4904240,11/10/2020,201,30,Country_Website
Italy,IT,ITA,60359546,11/10/2020,4939,420,Country_Github
Latvia,LV,LVA,1919968,11/10/2020,61,,Country_Website
Luxembourg,LU,LUX,613894,11/10/2020,36,3,Country_Website
Netherlands,NL,NLD,17282163,11/10/2020,,279,Other Website
Poland,PL,POL,37972812,11/10/2020,4924,,Country_Website
Portugal,PT,PRT,10276617,11/10/2020,843,124,Country_Website
Romania,RO,ROU,19414458,11/10/2020,,628,Country_Website
Slovakia,SK,SVK,5450421,11/10/2020,388,,JRC
Slovenia,SI,SVN,2080908,11/10/2020,158,27,Country_Github
United Kingdom,UK,GBR,66647112,11/10/2020,4465,,Country_Website
Belgium,BE,BEL,11455519,10/10/2020,1257,226,Country_Website
Bulgaria,BG,BGR,7000039,10/10/2020,1131,58,External_Github
Croatia,HR,HRV,4076246,10/10/2020,382,,Country_Website
Czechia,CZ,CZE,10649800,10/10/2020,2106,438,Country_Website
Denmark,DK,DNK,5806081,10/10/2020,103,20,Country_Website
Estonia,EE,EST,1324820,10/10/2020,31,5,Country_API
France,FR,FRA,67012883,10/10/2020,7976,1456,Country_Website
Hungary,HU,HUN,9772756,10/10/2020,1174,110,JRC
Ireland,IE,IRL,4904240,10/10/2020,194,30,Country_Website
Italy,IT,ITA,60359546,10/10/2020,4726,390,Country_Github
Latvia,LV,LVA,1919968,10/10/2020,52,,Country_Website
Luxembourg,LU,LUX,613894,10/10/2020,34,2,Country_Website
Netherlands,NL,NLD,17282163,10/10/2020,,274,Other Website
Poland,PL,POL,37972812,10/10/2020,4725,,Country_Website
Portugal,PT,PRT,10276617,10/10/2020,831,122,Country_Website
Romania,RO,ROU,19414458,10/10/2020,,629,Country_Website
Slovakia,SK,SVK,5450421,10/10/2020,380,,JRC
Slovenia,SI,SVN,2080908,10/10/2020,149,21,Country_Github
United Kingdom,UK,GBR,66647112,10/10/2020,4166,,Country_Website
Belgium,BE,BEL,11455519,09/10/2020,1189,212,Country_Website
Bulgaria,BG,BGR,7000039,09/10/2020,1063,56,External_Github
Croatia,HR,HRV,4076246,09/10/2020,385,,Country_Website
Czechia,CZ,CZE,10649800,09/10/2020,2085,408,Country_Website
Denmark,DK,DNK,5806081,09/10/2020,106,18,Country_Website
Estonia,EE,EST,1324820,09/10/2020,30,5,Country_API
Finland,FI,FIN,5517919,09/10/2020,37,5,External_Github
France,FR,FRA,67012883,09/10/2020,7843,1439,Country_Website
Hungary,HU,HUN,9772756,09/10/2020,993,82,JRC
Ireland,IE,IRL,4904240,09/10/2020,179,31,Country_Website
Italy,IT,ITA,60359546,09/10/2020,4473,387,Country_Github
Latvia,LV,LVA,1919968,09/10/2020,47,,Country_Website
Luxembourg,LU,LUX,613894,09/10/2020,34,1,Country_Website
Netherlands,NL,NLD,17282163,09/10/2020,,274,Other Website
Norway,NO,NOR,5328212,09/10/2020,23,,Country_API
Poland,PL,POL,37972812,09/10/2020,4407,,Country_Website
Portugal,PT,PRT,10276617,09/10/2020,811,125,Country_Website
Romania,RO,ROU,19414458,09/10/2020,,613,Country_Website
Slovakia,SK,SVK,5450421,09/10/2020,370,,JRC
Slovenia,SI,SVN,2080908,09/10/2020,138,23,Country_Github
United Kingdom,UK,GBR,66647112,09/10/2020,3979,,Country_Website
Belgium,BE,BEL,11455519,08/10/2020,1110,213,Country_Website
Bulgaria,BG,BGR,7000039,08/10/2020,1033,53,External_Github
Croatia,HR,HRV,4076246,08/10/2020,361,,Country_Website
Czechia,CZ,CZE,10649800,08/10/2020,1893,412,Country_Website
Denmark,DK,DNK,5806081,08/10/2020,115,17,Country_Website
Estonia,EE,EST,1324820,08/10/2020,36,5,Country_API
France,FR,FRA,67012883,08/10/2020,7603,1418,Country_Website
Hungary,HU,HUN,9772756,08/10/2020,804,56,JRC
Ireland,IE,IRL,4904240,08/10/2020,159,25,Country_Website
Italy,IT,ITA,60359546,08/10/2020,4283,358,Country_Github
Latvia,LV,LVA,1919968,08/10/2020,42,,Country_Website
Luxembourg,LU,LUX,613894,08/10/2020,24,1,Country_Website
Netherlands,NL,NLD,17282163,08/10/2020,,257,Other Website
Norway,NO,NOR,5328212,08/10/2020,27,,Country_API
Poland,PL,POL,37972812,08/10/2020,4138,,Country_Website
Portugal,PT,PRT,10276617,08/10/2020,801,115,Country_Website
Romania,RO,ROU,19414458,08/10/2020,,607,Country_Website
Slovakia,SK,SVK,5450421,08/10/2020,352,,JRC
Slovenia,SI,SVN,2080908,08/10/2020,131,21,Country_Github
United Kingdom,UK,GBR,66647112,08/10/2020,3904,,Country_Website
Austria,AT,AUT,8858775,07/10/2020,525,100,Country_Website
Belgium,BE,BEL,11455519,07/10/2020,1050,201,Country_Website
Bulgaria,BG,BGR,7000039,07/10/2020,971,57,External_Github
Croatia,HR,HRV,4076246,07/10/2020,344,,Country_Website
Czechia,CZ,CZE,10649800,07/10/2020,1741,366,Country_Website
Denmark,DK,DNK,5806081,07/10/2020,116,15,Country_Website
Estonia,EE,EST,1324820,07/10/2020,45,5,Country_API
Finland,FI,FIN,5517919,07/10/2020,31,5,External_Github
France,FR,FRA,67012883,07/10/2020,7514,1406,Country_Website
Hungary,HU,HUN,9772756,07/10/2020,656,41,JRC
Ireland,IE,IRL,4904240,07/10/2020,156,27,Country_Website
Italy,IT,ITA,60359546,07/10/2020,4119,337,Country_Github
Latvia,LV,LVA,1919968,07/10/2020,34,,Country_Website
Luxembourg,LU,LUX,613894,07/10/2020,22,2,Country_Website
Netherlands,NL,NLD,17282163,07/10/2020,,251,Other Website
Norway,NO,NOR,5328212,07/10/2020,25,,Country_API
Poland,PL,POL,37972812,07/10/2020,4000,,Country_Website
Portugal,PT,PRT,10276617,07/10/2020,764,104,Country_Website
Romania,RO,ROU,19414458,07/10/2020,,612,Country_Website
Slovakia,SK,SVK,5450421,07/10/2020,340,,JRC
Slovenia,SI,SVN,2080908,07/10/2020,122,22,Country_Github
United Kingdom,UK,GBR,66647112,07/10/2020,3729,,Country_Website
Austria,AT,AUT,8858775,06/10/2020,498,101,Country_Website
Belgium,BE,BEL,11455519,06/10/2020,952,189,Country_Website
Bulgaria,BG,BGR,7000039,06/10/2020,930,59,External_Github
Croatia,HR,HRV,4076246,06/10/2020,334,,Country_Website
Czechia,CZ,CZE,10649800,06/10/2020,1563,354,Country_Website
Denmark,DK,DNK,5806081,06/10/2020,124,15,Country_Website
Estonia,EE,EST,1324820,06/10/2020,39,5,Country_API
France,FR,FRA,67012883,06/10/2020,7377,1417,Country_Website
Hungary,HU,HUN,9772756,06/10/2020,627,37,JRC
Ireland,IE,IRL,4904240,06/10/2020,150,24,Country_Website
Italy,IT,ITA,60359546,06/10/2020,3944,319,Country_Github
Latvia,LV,LVA,1919968,06/10/2020,32,,Country_Website
Luxembourg,LU,LUX,613894,06/10/2020,21,2,Country_Website
Netherlands,NL,NLD,17282163,06/10/2020,,238,Other Website
Norway,NO,NOR,5328212,06/10/2020,22,,Country_API
Poland,PL,POL,37972812,06/10/2020,3719,,Country_Website
Portugal,PT,PRT,10276617,06/10/2020,732,104,Country_Website
Romania,RO,ROU,19414458,06/10/2020,,608,Country_Website
Slovakia,SK,SVK,5450421,06/10/2020,311,,JRC
Slovenia,SI,SVN,2080908,06/10/2020,111,20,Country_Github
United Kingdom,UK,GBR,66647112,06/10/2020,3480,,Country_Website
